sub_object_code,sub_object,spend_class,basis,needs_review,classified_at
REF_PAY,Refunds Payable,ledger,label_rule,false,2026-07-28
232860,"232840CONStateIncomeTax,TaxUni",obligation,label_rule,false,2026-07-28
527610,Systems Consulting Services,purchase,label_rule,false,2026-07-28
527020,Engineering Services,purchase,label_rule,false,2026-07-28
537530,IHSS Ip Public Authority Admin,purchase,label_rule,false,2026-07-28
556130,B Flx Claims Paid,obligation,label_rule,false,2026-07-28
UNEARN_REV_CHGS_SVCS,Unearned Revenue-Chgs for Svcs,ledger,label_rule,false,2026-07-28
529990,Other Equip Maint,purchase,label_rule,false,2026-07-28
230560,230490CONMedicareTaxTaxUnit1,obligation,code_range,true,2026-07-28
232720,"232660CONMedicareCityShare,Gen",obligation,code_range,true,2026-07-28
411220,Gross Receipts Tax,obligation,label_rule,false,2026-07-28
533210,Power Distrib Transmission,purchase,label_rule,false,2026-07-28
556400,Dental-Misc Employee,obligation,label_rule,false,2026-07-28
527080,Construction Management Svcs,purchase,code_range,true,2026-07-28
551110,Insurance Expense,purchase,label_rule,false,2026-07-28
444999,Other Federal Grants,ledger,code_range,true,2026-07-28
530410,Base Rent-Debt Svc-Bldg-Struct,obligation,label_rule,false,2026-07-28
541100,Inventories-Purchase,purchase,label_rule,false,2026-07-28
530310,Misc Facilities Rental,purchase,label_rule,false,2026-07-28
OTH_ASSETS_CURR,Other Assets Current,ledger,label_rule,false,2026-07-28
230640,230490CONDisabilityInsurTaxU1,obligation,code_range,true,2026-07-28
527230,Investment Services,purchase,label_rule,false,2026-07-28
REF_PAY_AGNCY_FUND,Refunds Payable-Agency Fund,ledger,label_rule,false,2026-07-28
552210,Fees Licenses Permits,unclear,unassigned,true,2026-07-28
410110,Prop Tax Curr Yr-Secured,obligation,label_rule,false,2026-07-28
537510,IHSS Contract Payments,purchase,label_rule,false,2026-07-28
OTHER_REC,Other Receivables,ledger,label_rule,false,2026-07-28
448111,Homeowners Prop Tax Relief,obligation,label_rule,false,2026-07-28
552110,Taxes,obligation,label_rule,false,2026-07-28
528110,Security,purchase,label_rule,false,2026-07-28
411224,Homeless Gross Receipts Tax,obligation,label_rule,false,2026-07-28
527010,Architectural Services,purchase,label_rule,false,2026-07-28
556200,Medical-Medical Claims Paid,obligation,label_rule,false,2026-07-28
480399,Proceeds From Other S-T Debts,ledger,label_rule,false,2026-07-28
549990,Other Materials & Supplies,purchase,label_rule,false,2026-07-28
546990,Food,purchase,label_rule,false,2026-07-28
535990,Other Current Expenses,purchase,label_rule,false,2026-07-28
535910,Paratransit Contract Expense,purchase,label_rule,false,2026-07-28
544990,"Other Hosp, Clinics&Lab Supply",purchase,label_rule,false,2026-07-28
556710,Nc-Flex Benefit-Tpa Administer,unclear,unassigned,true,2026-07-28
528990,Other Bldg Maint Svcs,purchase,label_rule,false,2026-07-28
532310,Telephone Chrgs (Tis Use Only),unclear,unassigned,true,2026-07-28
566990,Land Acquisition Cost,purchase,label_rule,false,2026-07-28
556430,Dental-Retired Employee,obligation,label_rule,false,2026-07-28
527030,Transportation Services,purchase,label_rule,false,2026-07-28
547990,Fuels & Lubricants,purchase,code_range,true,2026-07-28
560610,Data Processing Equipment,purchase,label_rule,false,2026-07-28
232525,230750DeferredCompLoanProgram,ledger,label_rule,false,2026-07-28
529210,Veh Maint (Non Central Shops),purchase,label_rule,false,2026-07-28
574500,Pmt To Ref Bnd Esc Agt-CitySou,obligation,code_range,true,2026-07-28
560990,Other Equipment,purchase,label_rule,false,2026-07-28
528010,Scavenger Services,purchase,label_rule,false,2026-07-28
536520,Rent Assist-Behalf Of Clients,purchase,label_rule,false,2026-07-28
533130,Resale Of Gas,unclear,unassigned,true,2026-07-28
527220,Financial Services,purchase,label_rule,false,2026-07-28
527070,Env Contractor-Consulting Svcs,purchase,label_rule,false,2026-07-28
571210,Loan Principal Repayment,ledger,label_rule,false,2026-07-28
527870,Registry - Nurses,purchase,code_range,false,2026-07-28
543310,Vehicle Parts-Supplies,purchase,label_rule,false,2026-07-28
574990,Debt Svc-Admin And Fiscal Chrg,obligation,label_rule,false,2026-07-28
527110,Social Services Contracts,purchase,label_rule,false,2026-07-28
