arrondissement,label,annee,logements_sociaux,residences_principales,source,source_url,licence
3,3e,2016,1638,19892,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2017,1667,19988,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2018,1702,20109,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2019,1706,20635,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
4,4e,2001,1100,18637,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
4,4e,2002,1183,18741,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
4,4e,2003,1147,18089,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
4,4e,2004,1147,17994,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
4,4e,2005,1186,17665,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
4,4e,2006,1194,17523,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
4,4e,2007,1205,17030,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
4,4e,2008,1206,17024,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
