projet_id,projet_year,projet_nom,projet_montant,projet_arr,numero_marche,fournisseur_nom,fournisseur_siret,marche_objet,marche_annee,marche_montant,score,label,reason
2024_00_9_007,2024,Gymnase Suzanne Berlioux - éclairage gymnase et circualtion,95694.33,0,20232023S02382,SPL PARISEINE,83942912300020,AMO REQUALIFICATION SECTEUR SUZANNE LENGLEN,2023,92600.0,0.85,confirmed,overlap=['suzanne']
2024_08_21_000,2024,Ecole Maternelle 7 Rue Moscou - Restructuration du RDC,95604.2,8,20232023T02824,ROCH'STONE,43980370100044,TRAVAUX RESTRUCTURATION PARTIELLE EM 7 RUE MOSCOU PARIS 8E,2023,209251.13,1.0,confirmed,"overlap=['moscou', 'restructuration']"
2022_20_62_005,2022,"remplacement de la trappe d'accès au sous-sol,",95516.0,20,20222022T04166,LEFEVRE SAS,35331873600058,SA4 PISCINE PONTOISE RENOVATION ACCES ET BASSIN,2022,2698652.0,0.75,probable,overlap=['acces']
2023_15_42_012,2023,Parc Suzanne Lenglen - Rénovation du réseau d'eau,95386.08,15,20232023S02382,SPL PARISEINE,83942912300020,AMO REQUALIFICATION SECTEUR SUZANNE LENGLEN,2023,92600.0,1.0,confirmed,"overlap=['lenglen', 'suzanne']"
2023_17_48_002,2023,modernisation de l'éclairage,95213.73,17,,,,,,,,no_match,aucun candidat score >= 0.60
2022_16_48_011,2022,distribution d'eau,94833.0,16,20232023F05781,SOC ACOUSTIQUE FRANCAISE,33837878900048,DISTRIBUTION ELECTRIQUE SONO ECLAIRAGE 2 SITES PARIS PLAGES,2023,116840.6,0.85,confirmed,overlap=['distribution']
2022_16_48_011,2022,distribution d'eau,94833.0,16,20212021S01335,SERMET,32858182200033,AMO RENOUVLMT CONCESSION DISTRIBUTION ENERGIE FRIGORIFIQUE,2021,54500.0,0.85,confirmed,overlap=['distribution']
2022_16_48_011,2022,distribution d'eau,94833.0,16,decp-2024T10195,MARCHE MULTIATTRIBUTAIRE,38857243000048|71202398500047|78821266000013|3830265644322b|32381463200150,Accords-cadres à marchés subséquents pour les travaux de modernisation des installations de génie climatique des équipements de la collectivité parisienne. - Changement d’énergie avec ou sans distribution hydraulique/ Opérations complexes en IdF,2024,40000000.0,0.85,confirmed,overlap=['distribution']
2022_16_48_011,2022,distribution d'eau,94833.0,16,20201120014006,ADREXO,31554935203660,SA1.DISTRIBUTION NON ADRESSES,2020,4000009.99,0.85,confirmed,overlap=['distribution']
2022_16_48_011,2022,distribution d'eau,94833.0,16,decp-2024S07178,,37914552700113,Accords-cadres à marchés subséquents pour la maîtrise d’œuvre hors loi MOP de modernisation des installations de génie climatique des équipements de la collectivité parisienne. - Changement d’énergie avec ou sans distribution hydraulique/ Opérations complexes en IdF,2024,685970.52,0.85,confirmed,overlap=['distribution']
2022_18_55_009,2022,brumisateurs),94745.0,18,,,,,,,,no_match,aucun candidat score >= 0.60
2022_14_41_009,2022,Square l'Abbé Lemire - Travaux de modernisation (type coulée verte) et d'entretien,94736.0,14,20191230000201,COCHERY ILE DE FRANCE,41797626300018,CSP4 AMENAGEMENT COULEE VERTE PARC VILLETTE BUTTES CHAUMONT,2019,571345.86,1.0,confirmed,"overlap=['coulee', 'verte']"
2022_14_41_009,2022,Square l'Abbé Lemire - Travaux de modernisation (type coulée verte) et d'entretien,94736.0,14,20191230000244,LACHAUX PAYSAGE,39044002200023,CSP4 AMENAGEMENT COULEE VERTE QUAI ANDRE CITROEN BEAUGRENELL,2019,379843.35,1.0,confirmed,"overlap=['coulee', 'verte']"
2022_14_41_009,2022,Square l'Abbé Lemire - Travaux de modernisation (type coulée verte) et d'entretien,94736.0,14,20222022T09107,ENT. DE TRAVAUX FAYOLLE ET FILS,50163916500015,"SA3.TRVX ENTRETIEN CHAUSSEES,TROTTOIRS 11,19,20 ARR LOT 3",2022,32000000.0,0.85,confirmed,overlap=['entretien']
2022_14_41_009,2022,Square l'Abbé Lemire - Travaux de modernisation (type coulée verte) et d'entretien,94736.0,14,20222022T09108,ENT. DE TRAVAUX FAYOLLE ET FILS,50163916500015,"SA3.TRAVX ENTRETIEN CHAUSSEES,TROITTOIRS 5,6,7,14 ARR LOT 4",2022,24000000.0,0.85,confirmed,overlap=['entretien']
